exercise,utility,mechanics,force,target_muscles,synergist_muscles,stabilizer_muscles
Lever Single Leg Split V-Squat,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Gluteus Maximus'],"['QuadricepsAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Lever Squat (plate loaded),BasicMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, UpperTrapezius, MiddleLevator Scapulae', 'Trapezius, MiddleLevator Scapulae', 'Levator Scapulae']"
Side Bridge Hip Abduction,AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,"['Tensor Fasciae LataeGluteus MediusGluteus Minimus', 'Gluteus MediusGluteus Minimus', 'Gluteus Minimus']","['ObliquesQuadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Quadratus lumborumPsoas majorIliocastalis lumborumIliocastalis thoracis', 'Psoas majorIliocastalis lumborumIliocastalis thoracis', 'Iliocastalis lumborumIliocastalis thoracis', 'Iliocastalis thoracis']","['Latissimus dorsiPectoralis minorLevator Scapulae', 'Pectoralis minorLevator Scapulae', 'Levator Scapulae']"
Sled One Hand Grip,Basic or AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Wrist Flexors'],['None'],['No significant stabilizers']
Barbell Decline Bench Press,Basic or AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,"['Pectoralis Major, Sternal']","['Pectoralis Major, ClavicularDeltoid, AnteriorTriceps Brachii', 'Deltoid, AnteriorTriceps Brachii', 'Triceps Brachii']",['']
Dumbbell Lateral Step-up,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleusGastrocnemius (following leg)', 'Adductor MagnusSoleusGastrocnemius (following leg)', 'SoleusGastrocnemius (following leg)', 'Gastrocnemius (following leg)']","['Erector SpinaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
Weighted Twisting Crunch,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,['Obliques'],"['Rectus AbdominisPsoas major', 'Psoas major']",['No significant stabilizers']
Lever Lying Rear Lateral Raise,AuxiliaryMechanicsIsolatedForcePull,IsolatedForcePull,Pull,"['Deltoid, Posterior']","['InfraspinatusTeres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Teres MinorTrapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, MiddleTrapezius, LowerRhomboids', 'Trapezius, LowerRhomboids', 'Rhomboids']",['No significant stabilizers']
Cable Bent-over Triceps Extension,Basic or AuxiliaryMechanicsIsolatedForcePush,IsolatedForcePush,Push,['Triceps Brachii'],['None'],"['Deltoid, AnteriorPectoralis Major, ClavicularWrist FlexorsRectus AbdominisObliques', 'Pectoralis Major, ClavicularWrist FlexorsRectus AbdominisObliques', 'Wrist FlexorsRectus AbdominisObliques', 'Rectus AbdominisObliques', 'Obliques']"
Cable Rear Lunge,AuxiliaryMechanicsCompoundForcePush,CompoundForcePush,Push,['Quadriceps'],"['Gluteus MaximusAdductor MagnusSoleus', 'Adductor MagnusSoleus', 'Soleus']","['Erector SpinaeTrapezius, UpperTrapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Trapezius, UpperTrapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Trapezius, LowerLevator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Levator ScapulaeGluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MediusGluteus MinimusQuadratus LumborumObliques', 'Gluteus MinimusQuadratus LumborumObliques', 'Quadratus LumborumObliques', 'Obliques']"
